,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
count,32581.0,32581.0,32581,31686.0,32581,32581,32581.0,29465.0,32581.0,32581.0,32581,32581.0
unique,,,4,,6,7,,,,,2,
top,,,RENT,,EDUCATION,A,,,,,N,
freq,,,16446,,6453,10777,,,,,26836,
mean,27.73459992019889,66074.84846996715,,4.789686296787225,,,9589.371105859243,11.011694892245036,0.21816396059052823,0.1702034928332464,,5.804211043246064
std,6.348078419225359,61983.11916815907,,4.1426301488878625,,,6322.086645792259,3.2404594649559466,0.4130056685601487,0.10678175634492382,,4.055001164712727
min,20.0,4000.0,,0.0,,,500.0,5.42,0.0,0.0,,2.0
25%,23.0,38500.0,,2.0,,,5000.0,7.9,0.0,0.09,,3.0
50%,26.0,55000.0,,4.0,,,8000.0,10.99,0.0,0.15,,4.0
75%,30.0,79200.0,,7.0,,,12200.0,13.47,0.0,0.23,,8.0
max,144.0,6000000.0,,123.0,,,35000.0,23.22,1.0,0.83,,30.0
